Year,Patents Enrolled
1660,2
1661,5
1662,4
1663,7
1664,2
1665,4
1666,2
1667,2
1668,5
1669,3
1670,0
1671,3
1672,4
1673,7
1674,5
1675,10
1676,4
1677,7
1678,7
1679,3
1680,0
1681,6
1682,8
1683,7
1684,13
1685,5
1686,3
1687,6
1688,4
1689,1
1690,3
1691,20
1692,23
1693,19
1694,11
1695,9
1696,5
1697,3
1698,7
1699,5
1700,2
1701,1
1702,1
1703,0
1704,5
1705,1
1706,4
1707,3
1708,2
1709,3
1710,0
1711,3
1712,3
1713,2
1714,3
1715,4
1716,9
1717,6
1718,6
1719,2
1720,7
1721,8
1722,14
1723,6
1724,14
1725,9
1726,5
1727,7
1728,11
1729,8
1730,12
1731,9
1732,3
1733,5
1734,8
1735,1
1736,5
1737,4
1738,6
1739,3
1740,4
1741,8
1742,6
1743,7
1744,17
1745,4
1746,4
1747,8
1748,11
1749,13
1750,7
1751,8
1752,7
1753,13
1754,9
1755,12
1756,3
1757,9
1758,14
1759,10
1760,14
1761,9
1762,17
1763,20
1764,18
1765,14
1766,31
1767,23
1768,23
1769,36
1770,30
1771,22
1772,29
1773,29
1774,35
1775,20
1776,29
1777,33
1778,30
1779,37
1780,33
1781,34
1782,39
1783,64
1784,46
1785,61
1786,60
1787,55
1788,42
1789,43
1790,68
1791,57
1792,85
1793,43
1794,55
1795,51
1796,75
1797,54
1798,77
1799,82
1800,
1801
1802
1803
1804
1805
1806
1807
1808
1809
1810
1811
1812
1813
1814
1815
1816
1817
1818
1819
1820
1821
1822
1823
1824
1825
1826
1827
1828
1829
1830
1831
1832
1833
1834
1835
1836
1837
1838
1839
1840
1841
1842
1843
1844
1845
1846
1847
1848
1849
1850
1851
