"Year", "Resident Population", "Total Population including armed forces overseas", "Civilian Resident Population", "Implied Total Armed Forces", "Implied Count of Armed Forces Overseas"
1790, 3929000, , , ,
1791, 4048000, , , ,
1792, 4171000, , , ,
1793, 4297000, , , ,
1794, 4428000, , , ,
1795, 4562000, , , ,
1796, 4700000, , , ,
1797, 4843000, , , ,
1798, 4990000, , , ,
1799, 5141000, , , ,
1800, 5297000, , , ,
1801, 5486000, , , ,
1802, 5679000, , , ,
1803, 5872000, , , ,
1804, 6065000, , , ,
1805, 6258000, , , ,
1806, 6451000, , , ,
1807, 6644000, , , ,
1808, 6838000, , , ,
1809, 7031000, , , ,
1810, 7224000, , , ,
1811, 7460000, , , ,
1812, 7700000, , , ,
1813, 7939000, , , ,
1814, 8179000, , , ,
1815, 8419000, , , ,
1816, 8659000, , , ,
1817, 8899000, , , ,
1818, 9139000, , , ,
1819, 9379000, , , ,
1820, 9618000, , , ,
1821, 9939000, , , ,
1822, 10268000, , , ,
1823, 10596000, , , ,
1824, 10924000, , , ,
1825, 11252000, , , ,
1826, 11580000, , , ,
1827, 11909000, , , ,
1828, 12237000, , , ,
1829, 12565000, , , ,
1830, 12901000, , , ,
1831, 13321000, , , ,
1832, 13742000, , , ,
1833, 14162000, , , ,
1834, 14582000, , , ,
1835, 15003000, , , ,
1836, 15423000, , , ,
1837, 15843000, , , ,
1838, 16264000, , , ,
1839, 16684000, , , ,
1840, 17123000, , , ,
1841, 17733000, , , ,
1842, 18345000, , , ,
1843, 18957000, , , ,
1844, 19569000, , , ,
1845, 20182000, , , ,
1846, 20794000, , , ,
1847, 21406000, , , ,
1848, 22018000, , , ,
1849, 22631000, , , ,
1850, 23261000, , , ,
1851, 24086000, , , ,
1852, 24911000, , , ,
1853, 25736000, , , ,
1854, 26561000, , , ,
1855, 27386000, , , ,
1856, 28212000, , , ,
1857, 29037000, , , ,
1858, 29862000, , , ,
1859, 30687000, , , ,
1860, 31513000, , , ,
1861, 32351000, , , ,
1862, 33188000, , , ,
1863, 34026000, , , ,
1864, 34863000, , , ,
1865, 35701000, , , ,
1866, 36538000, , , ,
1867, 37376000, , , ,
1868, 38213000, , , ,
1869, 39051000, , , ,
1870, 39905000, , , ,
1871, 40938000, , , ,
1872, 41972000, , , ,
1873, 43006000, , , ,
1874, 44040000, , , ,
1875, 45073000, , , ,
1876, 46107000, , , ,
1877, 47141000, , , ,
1878, 48174000, , , ,
1879, 49208000, , , ,
1880, 50262000, , , ,
1881, 51542000, , , ,
1882, 52821000, , , ,
1883, 54100000, , , ,
1884, 55379000, , , ,
1885, 56658000, , , ,
1886, 57938000, , , ,
1887, 59217000, , , ,
1888, 60496000, , , ,
1889, 61775000, , , ,
1890, 63056000, , , ,
1891, 64361000, , , ,
1892, 65666000, , , ,
1893, 66970000, , , ,
1894, 68275000, , , ,
1895, 69580000, , , ,
1896, 70885000, , , ,
1897, 72189000, , , ,
1898, 73494000, , , ,
1899, 74799000, , , ,
1900, 76094000, , , ,
1901, 77584000, , , ,
1902, 79163000, , , ,
1903, 80632000, , , ,
1904, 82166000, , , ,
1905, 83822000, , , ,
1906, 85450000, , , ,
1907, 87008000, , , ,
1908, 88710000, , , ,
1909, 90490000, , , ,
1910, 92407000, , , ,
1911, 93863000, , , ,
1912, 95335000, , , ,
1913, 97225000, , , ,
1914, 99111000, , , ,
1915, 100546000, , , ,
1916, 101961000, , , ,
1917, 103268000, 103414000, 102796000, 618000, 146000 
1918, 103208000, 104550000, 101488000, 3062000, 1342000 
1919, 104514000, 105063000, 104158000, 895000, 549000 
1920, 106461000, , , ,
1921, 108538000, , , ,
1922, 110049000, , , ,
1923, 111947000, , , ,
1924, 114109000, , , ,
1925, 115829000, , , ,
1926, 117397000, , , ,
1927, 119035000, , , ,
1928, 120509000, , , ,
1929, 121767000, , , ,
1930, 123077000, 123188000, 122923000, 265000, 111000 
1931, 124040000, 124149000, 123886000, 263000, 109000 
1932, 124840000, 124949000, 124694000, 255000, 109000 
1933, 125579000, 125690000, 125436000, 254000, 111000 
1934, 126374000, 126485000, 126228000, 257000, 111000 
1935, 127250000, 127362000, 127099000, 263000, 112000 
1936, 128053000, 128181000, 127879000, 802000, 128000 
1937, 128825000, 128961000, 128639000, 322000, 136000 
1938, 129825000, 129969000, 129635000, 334000, 144000 
1939, 130880000, 131028000, 130683000, 345000, 148000 
1940, 131954000, 132122000, 131658000, 464000, 168000 
1941, 133121000, 133402000, 131595000, 1807000, 281000 
1942, 133920000, 134860000, 130942000, 3918000, 940000 
1943, 134245000, 136739000, 127499000, 9240000, 2494000 
1944, 132885000, 138397000, 126708000, 11689000, 5512000 
1945, 132481000, 139928000, 127573000, 12355000, 7447000 
1946, 140054000, 141389000, 138385000, 3004000, 1335000 
1947, 143446000, 144126000, 142566000, 1560000, 680000 
1948, 146093000, 146631000, 145168000, 1463000, 538000 
1949, 148665000, 149188000, 147578000, 1610000, 523000 
1950, 151235000, 151684000, 150203000, 1481000, 449000 
1951, 153310000, 154287000, 151009000, 3278000, 977000 
1952, 155687000, 156954000, 153292000, 3662000, 1267000 
1953, 158242000, 159565000, 155975000, 3590000, 1323000 
1954, 161164000, 162391000, 159059000, 3332000, 1227000 
1955, 164308000, 165275000, 162311000, 2964000, 967000 
1956, 167306000, 168221000, 165373000, 2848000, 915000 
1957, 170371000, 171274000, 168400000, 2874000, 903000 
1958, 173320000, 174141000, 171485000, 2656000, 821000 
1959, 176289000, 177073000, 174521000, 2552000, 784000 
1960, 179979000, 180671000, 178140000, 2531000, 692000 
1961, 182992000, 183691000, 181143000, 2548000, 699000 
1962, 185771000, 186538000, 183677000, 2861000, 767000 
1963, 188483000, 189242000, 186493000, 2749000, 759000 
1964, 191141000, 191889000, 189141000, 2748000, 748000 
1965, 193526000, 194303000, 191605000, 2698000, 777000 
1966, 195576000, 196560000, 193420000, 3140000, 984000 
1967, 197457000, 198712000, 195264000, 3448000, 1255000 
1968, 199399000, 200706000, 197113000, 3593000, 1307000 
1969, 201385000, 202677000, 199145000, 3532000, 1292000 
1970, 203984000, 205052000, 201895000, 3157000, 1068000 
1971, 206827000, 207661000, 204866000, 2795000, 834000 
1972, 209284000, 209896000, 207511000, 2385000, 612000 
1973, 211357000, 211909000, 209600000, 2309000, 552000 
1974, 213342000, 213854000, 211636000, 2218000, 512000 
1975, 215465000, 215973000, 213789000, 2184000, 508000 
1976, 217583000, 218035000, 215894000, 2141000, 452000 
1977, 219760000, 220239000, 218106000, 2133000, 479000 
1978, 222095000, 222585000, 220467000, 2118000, 490000 
1979, 224567000, 225055000, 222969000, 2086000, 488000 
1980, 227225000, 227726000, 225651000, 2075000, 501000 
1981, 229466000, 229966000, 227818000, 2148000, 500000 
1982, 231664000, 232188000, 229995000, 2193000, 524000 
1983, 233792000, 234307000, 232097000, 2210000, 515000 
1984, 235825000, 236348000, 234110000, 2238000, 523000 
1985, 237924000, 238466000, 236219000, 2247000, 542000 
1986, 240133000, 240651000, 238412000, 2239000, 518000 
1987, 242289000, 242804000, 240550000, 2254000, 515000 
1988, 244499000, 245021000, 242817000, 2204000, 522000 
1989, 246819000, 247342000, 245131000, 2211000, 523000 
1990, 249623000, 250132000, 247983000, 2149000, 509000 
1991, 252981000, 253493000, 251370000, 2123000, 512000 
1992, 256514000, 256894000, 254929000, 1965000, 380000 
1993, 259919000, 260255000, 258446000, 1809000, 336000 
1994, 263126000, 263436000, 261714000, 1722000, 310000 
1995, 266278000, 266557000, 264927000, 1630000, 279000 
