"Year","Renewals in Year t","(reg. Minus Renewals) 27 Years Earlier","Reg. 28 yr. Earlier (net of Ren.Reg)","Total Registrations","Copyright Renewed In t / Reg. In t-28 (%)","Copyright Depreciation (%)","Copyright Expected Life"
1910,984,25006,23141,108067,4.3,11.3,8.9
1911,1049,27216,25006,114270,4.2,11.3,8.8
1912,1340,28355,27216,119582,4.9,10.8,9.3
1913,1177,31260,28355,118430,4.2,11.4,8.8
1914,1022,35092,31260,121923,3.3,12.2,8.2
1915,1340,38583,35092,113867,3.8,11.7,8.6
1916,1783,40978,38583,114339,4.6,11,9.1
1917,1825,42789,40978,109446,4.5,11.1,9
1918,2025,49062,42789,104871,4.7,10.9,9.2
1919,1923,56000,49062,111097,3.9,11.6,8.6
1920,2157,58962,56000,124450,3.9,11.6,8.6
1921,2417,62786,58962,133074,4.1,11.4,8.8
1922,2763,66003,62786,135907,4.4,11.2,9
1923,3179,73339,66003,146257,4.8,10.8,9.2
1924,2743,75000,73339,159261,3.7,11.7,8.5
1925,3991,75545,75000,162539,5.3,10.5,9.5
1926,4230,80968,75545,173606,5.6,10.3,9.7
1927,4744,94798,80968,179314,5.9,10.1,9.9
1928,5358,92351,94798,188467,5.7,10.3,9.7
1929,5740,92978,92351,157011,6.2,9.9,10.1
1930,6379,92979,92978,166855,6.9,9.6,10.5
1931,5722,103130,92979,158644,6.2,10,10
1932,6092,113374,103130,145847,5.9,10.1,9.9
1933,5900,117704,113374,132950,5.2,10.6,9.5
1934,7382,123829,117704,134228,6.3,9.9,10.1
1935,7143,119742,123829,137778,5.8,10.2,9.8
1936,8266,120131,119742,151088,6.9,9.5,10.5
1937,9201,108067,120131,148341,7.7,9.2,10.9
1938,10371,114270,108067,158723,9.6,8.4,11.9
1939,9975,119582,114270,165273,8.7,8.7,11.5
1940,9810,118430,119582,169260,8.2,8.9,11.2
1941,10388,121923,118430,170305,8.8,8.7,11.5
1942,11872,113867,121923,170744,9.7,8.3,12
1943,7143,114339,113867,151139,6.3,9.9,10.1
1944,12740,109446,114339,159022,11.1,7.8,12.8
1945,12825,104871,109446,167481,11.7,7.7,13.1
1946,12516,111097,104871,189628,11.9,7.6,13.2
1947,13359,124450,111097,217014,12,7.6,13.2
1948,15308,133074,124450,222305,12.3,7.5,13.4
1949,15119,135907,133074,187515,11.4,7.8,12.9
1950,16100,146257,135907,196033,11.8,7.6,13.1
1951,15504,159261,146257,183982,10.6,8,12.5
1952,16838,162539,159261,187015,10.6,8,12.5
1953,18455,173606,162539,201405,11.4,7.8,12.9
1954,19360,179314,173606,204157,11.2,7.8,12.8
1955,20457,188467,179314,205213,11.4,7.8,12.9
1956,22885,157011,188467,203982,12.1,7.5,13.3
1957,21739,166855,157011,204334,13.8,7.1,14.2
1958,22447,158644,166855,216342,13.5,7.2,14
1959,20853,145847,158644,220294,13.1,7.2,13.8
1960,19991,132950,145847,222533,13.7,7.1,14.1
1961,19369,134228,132950,228820,14.6,6.9,14.5
1962,18740,137778,134228,235502,14,7,14.2
1963,19988,151088,137778,244681,14.5,6.9,14.5
1964,22590,148341,151088,256413,15,6.8,14.7
1965,24255,158723,148341,270097,16.4,6.5,15.5
1966,24515,165273,158723,261402,15.4,6.7,15
1967,24518,169260,165273,270907,14.8,6.8,14.7
1968,26307,170305,169260,277677,15.5,6.6,15
1969,23549,170744,170305,275591,13.8,7.1,14.2
1970,23316,151139,170744,293150,13.7,7.1,14.1
1971,20835,159022,151139,308861,13.8,7.1,14.1
1972,23239,167481,159022,321335,14.6,6.9,14.6
1973,23071,189628,167481,330577,13.8,7.1,14.1
1974,25500,217014,189628,347332,13.4,7.2,14
1975,28200,222305,217014,376074,13,7.3,13.7
1976,27700,187515,222305,383269,12.5,7.4,13.4
1977,31000,196033,187515,421702,16.5,6.4,15.6
1978,21200,183982,196033,310742,10.8,7.9,12.6
1979,27000,187015,183982,402004,14.7,6.9,14.6
1980,33000,201405,187015,431743,17.6,6.2,16.1
1981,34200,204157,201405,436978,17,6.3,15.8
1982,36300,205213,204157,431849,17.8,6.2,16.2
1983,39100,203982,205213,449156,19.1,5.9,16.9
1984,37300,204334,203982,465328,18.3,6.1,16.5
1985,43800,216342,204334,495365,21.4,5.5,18.2
1986,45300,220294,216342,514912,20.9,5.6,17.9
1987,45500,222533,220294,535776,20.7,5.6,17.8
1988,43800,228820,222533,522001,19.7,5.8,17.2
1989,38600,235502,228820,572728,16.9,6.4,15.7
1990,51800,244681,235502,591802,22,5.4,18.5
1991,52300,256413,244681,611384,21.4,5.5,18.1
1992,49100,270097,256413,557153,19.1,5.9,16.9
1993,37700,261402,270097,567194,14,7,14.2
1994,33300,270907,261402,497032,12.7,7.4,13.6
1995,30600,277677,270907,578595,11.3,7.8,12.8
1996,23700,275591,277677,526722,8.5,8.8,11.4
1997,28600,293150,275591,540626,10.4,8.1,12.4
1998,25400,308861,293150,533245,8.7,8.7,11.4
1999,23800,321335,308861,570701,7.7,9.2,10.9
2000,16800,330577,321335,498812,5.2,10.5,9.5
