1870,5600
1871,12688
1872,14164
1873,15352
1874,16283
1875,16194
1876,15392
1877,16082
1878,16290
1879,18528
1880,20993
1881,21256
1882,23141
1883,25892
1884,27727
1885,28748
1886,31638
1887,35467
1888,38907
1889,41297
1890,43098
1891,49197
1892,54741
1893,58957
1894,62764
1895,67578
1896,72482
1897,75035
1898,75634
1899,81416
1900,95573
1901,93299
1902,93891
1903,99122
1904,104431
1905,114747
1906,118799
1907,124814
1908,120657
1909,121141
1910,109309
1911,115955
1912,121824
1913,120413
1914,124213
1915,116276
1916,117202
1917,112561
1918,107436
1919,113771
1920,127342
1921,136765
1922,140734
1923,151087
1924,164710
1925,167863
1926,180179
1927,186856
1928,196715
1929,164666
1930,175125
1931,167107
1932,153710
1933,139361
1934,141217
1935,144439
1936,159268
1937,156930
1938,168663
1939,175450
1940,179467
1941,180647
1942,182232
1943,160789
1944,169269
1945,178848
1946,202144
1947,230215
1948,238121
1949,201190
1950,210564
1951,200354
1952,203705
1953,218506
1954,222665
1955,224732
1956,224908
1957,225807
1958,238935
1959,241735
1960,243926
1961,247014
1962,254776
1963,264845
1964,278987
1965,293617
1966,286866
1967,294406
1968,303451
1969,301258
1970,316466
1971,329696
1972,344574
1973,353648
1974,372832
1975,401274
1976,410969
1976,108762
1977,452702
1978,331942
1979,429004
1980,464743
1981,471178
1982,468149
1983,488256
1984,502628
1985,539165
1986,560212
1987,581276
1988,565801
1989,611328
1990,643602
1991,663684
1992,606253
1993,604894
1994,530332
1995,609195
1996,550422
1997,569226
1998,558645
1999,594501
2000,515612
