Date,Price (USD),Comment
1950-01,34.73,
1950-02,34.73,
1950-03,34.73,
1950-04,34.73,
1950-05,34.73,
1950-06,34.73,
1950-07,34.73,
1950-08,34.73,
1950-09,34.73,
1950-10,34.73,
1950-11,34.73,
1950-12,34.72,
1951-01,34.72,
1951-02,34.73,
1951-03,34.73,
1951-04,34.73,
1951-05,34.73,
1951-06,34.73,
1951-07,34.72,
1951-08,34.71,
1951-09,34.71,
1951-10,34.71,
1951-11,34.73,
1951-12,34.66,
1952-01,34.49,
1952-02,34.49,
1952-03,34.68,
1952-04,34.82,
1952-05,34.73,
1952-06,34.53,
1952-07,34.57,
1952-08,34.58,
1952-09,34.51,
1952-10,34.63,
1952-11,34.72,
1952-12,34.79,
1953-01,34.88,
1953-02,34.95,
1953-03,34.92,
1953-04,34.93,
1953-05,34.90,
1953-06,34.89,
1953-07,34.91,
1953-08,34.91,
1953-09,34.76,
1953-10,34.79,
1953-11,34.86,
1953-12,34.85,
1954-01,34.86,
1954-02,34.88,
1954-03,34.92,
1954-04,35.04,
1954-05,35.08,
1954-06,35.07,
1954-07,35.08,
1954-08,35.05,
1954-09,35.08,
1954-10,35.08,
1954-11,35.06,
1954-12,35.04,
1955-01,35.04,
1955-02,35.05,
1955-03,35.06,
1955-04,35.05,
1955-05,35.05,
1955-06,35.04,
1955-07,35.05,
1955-08,35.03,
1955-09,34.98,
1955-10,34.98,
1955-11,34.98,
1955-12,34.97,
1956-01,34.99,
1956-02,34.99,
1956-03,34.99,
1956-04,34.98,
1956-05,34.99,
1956-06,34.98,
1956-07,35.00,
1956-08,35.02,
1956-09,35.01,
1956-10,35.02,
1956-11,34.98,
1956-12,34.90,
1957-01,34.88,
1957-02,34.89,
1957-03,34.91,
1957-04,34.92,
1957-05,34.93,
1957-06,34.99,
1957-07,34.99,
1957-08,34.97,
1957-09,34.96,
1957-10,34.97,
1957-11,34.97,
1957-12,34.99,
1958-01,35.01,
1958-02,35.08,
1958-03,35.09,
1958-04,35.10,
1958-05,35.11,
1958-06,35.10,
1958-07,35.11,
1958-08,35.10,
1958-09,35.10,
1958-10,35.11,
1958-11,35.10,
1958-12,35.09,
1959-01,35.07,
1959-02,35.06,
1959-03,35.06,
1959-04,35.08,
1959-05,35.12,
1959-06,35.12,
1959-07,35.13,
1959-08,35.12,
1959-09,35.13,
1959-10,35.10,
1959-11,35.06,
1959-12,35.05,
1960-01,35.09,
1960-02,35.09,
1960-03,35.09,
1960-04,35.11,
1960-05,35.10,
1960-06,35.09,
1960-07,35.10,
1960-08,35.13,
1960-09,35.22,
1960-10,35.78,
1960-11,35.82,
1960-12,35.54,
1961-01,35.56,
1961-02,35.17,
1961-03,35.08,
1961-04,35.08,
1961-05,35.06,
1961-06,35.07,
1961-07,35.11,
1961-08,35.16,
1961-09,35.19,
1961-10,35.19,
1961-11,35.19,
1961-12,35.15,
1962-01,35.16,
1962-02,35.13,
1962-03,35.09,
1962-04,35.08,
1962-05,35.08,
1962-06,35.10,
1962-07,35.12,
1962-08,35.12,
1962-09,35.13,
1962-10,35.14,
1962-11,35.09,
1962-12,35.08,
1963-01,35.06,
1963-02,35.08,
1963-03,35.10,
1963-04,35.10,
1963-05,35.08,
1963-06,35.08,
1963-07,35.09,
1963-08,35.10,
1963-09,35.08,
1963-10,35.08,
1963-11,35.08,
1963-12,35.08,
1964-01,35.08,
1964-02,35.08,
1964-03,35.08,
1964-04,35.08,
1964-05,35.08,
1964-06,35.08,
1964-07,35.08,
1964-08,35.08,
1964-09,35.09,
1964-10,35.11,
1964-11,35.10,
1964-12,35.12,
1965-01,35.13,
1965-02,35.14,
1965-03,35.16,
1965-04,35.14,
1965-05,35.10,
1965-06,35.10,
1965-07,35.12,
1965-08,35.15,
1965-09,35.14,
1965-10,35.11,
1965-11,35.11,
1965-12,35.13,
1966-01,35.15,
1966-02,35.17,
1966-03,35.15,
1966-04,35.13,
1966-05,35.12,
1966-06,35.15,
1966-07,35.18,
1966-08,35.18,
1966-09,35.19,
1966-10,35.16,
1966-11,35.16,
1966-12,35.18,
1967-01,35.18,
1967-02,35.17,
1967-03,35.16,
1967-04,35.17,
1967-05,35.18,
1967-06,35.19,
1967-07,35.19,
1967-08,35.19,
1967-09,35.19,
1967-10,35.19,
1967-11,35.20,
1967-12,35.19,
1968-01,35.18,
1968-02,35.20,
1968-03,35.20,comment,
1968-04,37.88,
1968-05,40.69,
1968-06,41.11,
1968-07,39.53,
1968-08,39.17,
1968-09,40.20,
1968-10,39.21,
1968-11,39.80,
1968-12,41.11,
1969-01,42.29,
1969-02,42.62,
1969-03,43.17,
1969-04,43.30,
1969-05,43.46,
1969-06,41.44,
1969-07,41.76,
1969-08,41.13,
1969-09,40.86,
1969-10,40.48,
1969-11,37.45,
1969-12,35.19,
1970-01,34.95,
1970-02,34.99,
1970-03,35.09,
1970-04,35.62,
1970-05,35.96,
1970-06,35.44,
1970-07,35.33,
1970-08,35.38,
