Market Year,Planted acreage (millions),Harvested acreage (millions),Production (millions of bushels),Yield (bushels per acre),Weighted-average farm price ($ per bushel)
1866,,15.408,170.0,11.0,
1867,,16.738,211.0,12.6,
1868,,19.14,246.0,12.9,
1869,,21.194,290.0,13.7,
1870,,20.945,254.0,12.1,
1871,,22.23,272.0,12.2,
1872,,22.962,271.0,11.8,
1873,,24.866,322.0,12.9,
1874,,27.31,356.0,13.0,
1875,,28.382,314.0,11.1,
1876,,28.283,309.0,10.9,
1877,,27.963,396.0,14.1,
1878,,33.379,449.0,13.5,
1879,,35.347,459.0,13.0,
1880,,38.096,502.0,13.2,
1881,,36.795,406.0,11.0,
1882,,36.496,552.0,15.1,
1883,,35.587,439.0,12.3,
1884,,38.485,571.0,14.8,
1885,,35.095,400.0,11.4,
1886,,36.312,514.0,14.1,
1887,,36.873,491.0,13.3,
1888,,34.969,424.0,12.1,
1889,,36.098,504.0,14.0,
1890,,36.686,449.0,12.2,
1891,,41.09,678.0,16.5,
1892,,42.979,612.0,14.2,
1893,,40.79,506.0,12.4,
1894,,40.167,542.0,13.5,
1895,,38.998,542.0,13.9,
1896,,40.828,523.0,12.8,
1897,,43.413,606.0,14.0,
1898,,50.506,768.0,15.2,
1899,,52.342,655.0,12.5,
1900,,49.203,599.0,12.2,
1901,,50.847,763.0,15.0,
1902,,46.244,687.0,14.9,
1903,,48.456,663.0,13.7,
1904,,43.155,556.0,12.9,
1905,,46.306,706.0,15.2,
1906,,46.23,741.0,16.0,
1907,,44.139,629.0,14.2,
1908,,45.102,643.0,14.3,0.97
1909,,44.262,684.0,15.5,0.99
1910,,45.793,625.0,13.7,0.91
1911,,49.894,618.0,12.4,0.87
1912,,48.413,730.0,15.1,0.8
1913,,52.012,751.0,14.4,0.79
1914,,55.613,897.0,16.1,0.97
1915,,60.303,1009.0,16.7,0.96
1916,,53.51,635.0,11.9,1.43
1917,,46.787,620.0,13.2,2.04
1918,,61.068,904.0,14.8,2.05
1919,77.44,73.7,952.0,12.9,2.16
1920,67.977,62.358,843.0,13.5,1.82
1921,67.681,64.566,819.0,12.7,1.03
1922,67.163,61.397,847.0,13.8,0.96
1923,64.59,56.92,759.0,13.3,0.92
1924,55.706,52.463,842.0,16.0,1.24
1925,61.738,52.443,669.0,12.8,1.43
1926,60.712,56.616,832.0,14.7,1.21
1927,65.661,59.628,875.0,14.7,1.18
1928,71.152,59.226,914.0,15.4,0.99
1929,67.177,63.392,824.0,13.0,1.03
1930,67.559,62.637,887.0,14.2,0.66
1931,66.463,57.704,942.0,16.3,0.38
1932,66.281,57.851,756.0,13.1,0.38
1933,69.009,49.424,552.0,11.2,0.74
1934,64.064,43.347,526.0,12.1,0.84
1935,69.611,51.305,628.0,12.2,0.83
1936,73.97,49.125,630.0,12.8,1.02
1937,80.814,64.169,874.0,13.6,0.96
1938,78.981,69.197,920.0,13.3,0.56
1939,62.802,52.669,741.0,14.1,0.69
1940,61.82,53.273,815.0,15.3,0.67
1941,62.707,55.935,942.0,16.8,0.94
1942,53.0,49.773,969.0,19.5,1.09
1943,55.984,51.355,844.0,16.4,1.35
1944,66.19,59.749,1060.0,17.7,1.41
1945,69.192,65.167,1108.0,17.0,1.49
1946,71.578,67.105,1152.0,17.2,1.9
1947,78.314,74.519,1359.0,18.2,2.29
1948,78.345,72.418,1295.0,17.9,1.98
1949,83.905,75.91,1098.0,14.5,1.88
1950,71.3,61.6,1019.0,16.5,2.0
1951,78.5,61.9,988.0,16.0,2.11
1952,78.6,71.1,1306.0,18.4,2.09
1953,78.9,67.8,1173.0,17.3,2.04
1954,62.5,54.4,984.0,18.1,2.12
1955,58.2,47.3,937.0,19.8,1.98
1956,60.7,49.8,1005.0,20.2,1.97
1957,49.8,43.8,956.0,21.8,1.93
1958,56.0,53.0,1457.0,27.5,1.75
1959,56.7,51.7,1118.0,21.6,1.76
1960,54.9,51.9,1354.7,26.1,1.74
1961,55.7,51.6,1232.4,23.9,1.83
1962,49.3,43.7,1092.0,25.0,2.04
1963,53.4,45.5,1146.8,25.2,1.85
1964,55.7,49.8,1283.4,25.8,1.37
1965,57.4,49.6,1315.6,26.5,1.35
1966,54.1,49.6,1304.9,26.3,1.63
1967,54.1,49.6,1507.6,26.3,1.39
1968,61.9,54.8,1556.6,28.4,1.24
1969,53.5,47.1,1442.7,30.6,1.25
1970,48.7,43.6,1351.6,31.0,1.33
1971,53.8,47.7,1618.6,33.9,1.34
1972,54.9,47.3,1546.2,32.7,1.76
1973,59.3,54.1,1710.8,31.6,3.95
1974,71.0,65.4,1781.9,27.3,4.09
1975,74.9,69.5,2126.93,30.6,3.55
1976,80.4,70.9,2148.78,30.3,2.73
1977,75.4,66.7,2045.53,30.7,2.33
1978,66.0,56.5,1775.52,31.4,2.97
1979,71.4,62.5,2134.06,34.1,3.78
1980,80.8,71.1,2380.93,33.5,3.91
